Q,A
냄새가 났을 때 뭐하는 거야?,괜찮아요. 모른척하세요.
4년 전에 만났지만,사람 속을 모를 때가 있어요.
"4년을 만났어도,,",누군지 모르는 때가 있습니다.
오랫동안 결혼한 친구를 만나고 있어요.,소식을 들었나봐요.
오랜만에 결혼한 친구 만나고 왔는데.,뉴스를 들었어요
감정적으로 조절되지 않았기 때문에 문자 보냈어요,문자가 나을 수도 있겠네요.
"아프지 않은 이별은 없지만, 헤어지는게 답인 관계는 있더군.",또한 회의의 끝을 아는 것도 중요합니다.
우리가 헤어졌지 일주일 됐어,가장 힘들 시간 같아요.
헤어진지 일주일째,가장 힘든 시간이라고 생각합니다.
당신이 계속 사랑하는 그룹입니다.,마음이 허락하는 한이라고 말할 수 있겠네요.
계속 좋아하는 거 무리일까요.,당신의 마음이 허락하는 만큼 말씀드리겠습니다.
남자친구가 첫사랑이야,네 마지막 사랑이야
보브가 맡고 있어,누룽지 해드세요.
내 여자친구는 캐톡스 체인에서 일하고 있어요,카톡 차단하세요.
짝남 마주치지 않으려고 노력할거야.,그리고 그건 한 가지 방법이죠.
유리창을 가진 남자친구가 어때?,한 번이 어렵지 두 번은 쉽습니다.
바람기가 있는 남자친구 어떡해?,한 번은 어렵고 두 번은 쉽다.
CC가 정말 나쁜가요?,헤어질 경우 엮여 있는 사람이 많으니까요.
CC 레알 별로임?,헤어지기에는 많은 사람들이 참여하고 있기 때문입니다.
쉽지 않은 일이야,연락하면서 감정들이 다시 생각나니까요.
통화를 하긴했는데. 힘드네,연결되면 감정이 돌아옵니다.
클럽을 좋아하는 놈을 좋아하지 않아,같이 가서 놀아보면 깰 거예요.
이 남자가 그녀를 만났을 때 연락하는 여자야,예의가 없은 것 같아요.
솔직히 말해서,제 생각도 그래요. 차라리 솔직했으면.
차라리 솔직하게 말해주지. 더 짜증나는건,솔직히 말해서 저도 그렇게 생각합니다.
좋은 사람들이 많아요,많죠!
좋은 사람 많아,너무 많군!
내 기침에서 벗어나,따뜻한 물 한 잔 드세요.
마른 기침 나와,한 잔 따뜻한 물을 마시세요.
난 술을 마시지 않아,세다고 너무 많이 드시면 안돼요.
술 마셔도 안 취해,너무 많이 계산하지 마
좋아하는 여자 앞에서 얼굴을 볼 필요는 없습니다.,진심으로 좋아해서 그럴 거예요.
좋아하는 여자애 앞에서 표정 관리가 안됩니다.,정말 좋아하기 때문인지 확신합니다.
전화가 안 됐어,걸지 말아요.
걸지 못한 전화,돌아다니지 마
의사소통이 불가능한 고통입니다.,당분간은 힘들지 몰라요.
새로운 사랑을 시작하기에 앞서서.,과거의 사랑에 대해 걱정하지 마
잘 사니?,당신은 좋은 삶을 살 것입니다.
왜 이렇게 쉽게 변할 수 있을까요?,변덕스러운 사랑 때문에 힘들어하지 말아요.
왜 그리 쉽게 변해?,부답되지 않은 사랑으로 방해받지 마십시오.
너무 큰 소리야,피곤한건 아닌지 살펴보세요.
너무 슬프고 죽고 싶어,당신은 누구보다 소중한 사람이에요.
내가 타고 다니는 사람 걱정이야,사귀기 전에는 다 불안해요.
사랑할 시간이 없어,시간은 핑계예요.
사랑하기에 시간이 부족해,시간은 변명입니다.
침묵은...,침묵이 오히려 도움이 될 때가 있을 거예요.
침묵,침묵이 실제로 도움이 될 때가 있을 것입니다.
나 혼자 썸 타는 부분?,의사에게 직접 또는 간접적으로 알고 있는지 확인하십시오.
잘 살 수 있어,살아온 날보다 앞으로 살 날이 더 많아요.
잘 살 수 있겠죠,내 앞에는 그 어느 때보다 더 많은 날이 있습니다.
SNS의 흔적,SNS 흔적 삭제하세요.
SNS 흔적,SNS 흔적을 삭제하세요.
썸은 연락만?,연락하고 직접 만나고 싶습니다.
진짜 친구 몇 명 있어?,한 명만 있어도 충분해요.
진짜 친구 몇 명 있어야 돼?,한 개만 충분해요
대학교에서 첫사랑 다시 만났어.,운명적인 만남입니다.
마음을 바꾸고 싶어요.,저랑 함께 해요.
무언가에 집중하는 남자가 좋아,그는 매력적인 사람입니다.
언제 이 끈을 놓아야 할까요?,달라지지 않는다면 빠를수록 덜 힘들거예요.
언제쯤 이 끈을 놓아야할까. 지금일까.?,"만약 그것이 변하지 않는다면, 더 빨리 어렵지 않게 될 것입니다."
"난 그런 친구가 아냐, 하지만 난 너무 짜증나게 해",친구가 좋아하나봐요.
그런 친구 아니었는데 너무 귀찮게 하네,그녀는 친구들을 좋아한다고 생각합니다.
기회를 놓쳤어,더 좋은 기회가 올 거예요.
왜 나한테 그렇게 화가 났어?,힘들겠네요.
결혼이나 하지 왜 자꾸 나한테 화 내냐구!,힘들게 될 거야
처음 느껴요,처음이 많았겠죠.
처음 느끼는 감정,많은 첫 번째입니다.
어떻게 살아야 할까요?,태연하게 시작해보세요.
어떻게 살아가야 할까,그럼 임신을 시작해보죠.
너무 강력해요,억지로라도 긍정적인 감정을 끌어올려보세요.
너무 힘이듭니다,당신이 강요당하더라도 긍정적인 감정을 불러일으키려고 노력하세요.
새 입구는 이미 올 거야,더 열심히 하세요.
신입이 벌써 치고 올라온다,더 열심히 노력해
이사 도와줘야 할까,큰 도움이 될 것 같아요.
제안하러 왔어요,법적 부부가 된 걸 축하해요!
혼인신고 하러 왔어,합법적인 커플이 되어서 축하합니다!
난 꿈이 없어,거창하지 않아도 돼요.
꿈이 없어,거대할 필요는 없어
언제 잊혀질 거야?,생각을 안할 수 있으면 좋으련만.
"언제쯤 잊혀질런지,,",내가 생각할 수 없었으면 좋겠어.
여자친구랑 짝짓기를 해야지?,꼭 해야 하는 건 없어요.
업데이트가 너무 오래 걸려,잠깐만요
나뉘는 게 무서운 거야,혼자가 되는 거겠죠.
이별이 무서운건,넌 외로울 거야
병원 가기 싫어,상황이 악화되기 전에 가자.
잘 됐어,안녕.
잘가,"안녕하세요, 무슨 일이에요?"
나이 차이가 있다고 인정할 수 있나요?,나이는 문제가 되지 않아요.
나이 차이 많이 나는 짝녀에게 고백해도될까?,나이는 문제가 아닙니다.
너무 헌신해서 화나고 혐오스러웠어요,그땐 후회없는 사랑을 했던거라 생각하세요.
마냥 헌신하던 제 모습이 처량하고 화가나네,당신이 후회하지 않은 사랑으로 생각해보세요.
정말 잘 헤엄치고 싶어요.,강습 받아보세요.
내 남자친구는 멍청이이고 돈을 쓸까봐 무서워,성향이 다른가봅니다.
남자친구가 짠돌이라서 돈 쓸 때 엄청 아까워해,하지만 그건 다르다.
우린 이길 거야,지도 어플을 실행해보세요.
이길이 내길인가,지도 앱을 실행하세요.
잊혀졌어,마음 아픈 일이기도 해요.
잊혀진다는거,또한 가슴 아픈 일이죠.
답은 어딨어?,답은 언제나 내 안에 있죠.
답이 어디있을까?,답은 항상 내 안에 있습니다.
"내가 좋아하는 사람이 있고, 그건 긴 이야기입니다.",천천히 말씀해보세요.
좋아하는 사람이 있는데 사연이 길어요.,천천히 말해주세요
저는 교통사고를 당했습니다.,보험 처리하세요.
교통사고 났었어.,보험을 챙겨라
잊지 마세요.,때론 잊어버리는 것이 좋을 때도 있어요.
잊지마,가끔은 잊어버리는 게 좋다.
시간이 부족해?,시간은 지금도 흐르고 있어요.
시간이 가고 있나?,시간은 여전히 흐르고 있습니다.
아 놔 왜 사냐,왜냐하면 살아있다는 것은 그 자체로 의미가 있기 때문입니다.
제가 제 복을 찬거겠죠 .,또 다른 축복이 있을 겁니다.
썸 끝나고 잡아도 될까,사랑은 언제든 다시 시작될 수 있습니다.
남자친구 생일인데 뭘 줄까,보통 필요한 것에 대해 생각해보세요.
헤어진 지 4일이 됐어요,얼마 되지 않았네요.
언제 처음 남자친구를 키스했어?,뭐 이런 걸 물어보시나요.
6년 4개월의 데이트,또 다시 열심히 살아가고 사랑하는 거죠.
6년 4개월동안의 연애. 그 후 이별 뭘해야할까,다시 힘들고 사랑스러운 삶을 살아야 합니다.
"아, 너무 미안해",더 많이 배웠길 바라요.
아 진짜 아쉽다.,더 많은 것을 배웠으면 좋겠습니다.
회복되는게 하루하루가 다른거 같아!!,당신은 매우 탄력적입니다.
이해심이 부족한 나.,우리는 서로를 본 적이 없다는 것은 당연하다고 생각합니다.
내가 데이트했던 남자처럼 생겼어,이제 관심을 거둬 보세요.
전여친 남자 생겼나 봐,"지금, 이 일에 주의를 기울여라."
좋아하는 사람의 호감을 살 수 있는 방법이 뭐가 있을까.,당신이 관심 있는 것에 관심을 가져라.
놀러가기 딱 좋은 날씨다,친구들과 즐거운 시간을 보내세요.
새 여자친구가 생겼어,이젠 신경을 거둬두세요.
새 여친이 생겼더라구,지금 걱정 마
내가 생각하는 것처럼 그는 나를 생각합니까?,확신이 없나보네요.
내가 생각하는 만큼 걔도 날 생각할까?,- 확실하지 않아요
헤어진 후 느끼는 감정은 한 번에 한 걸음씩인 것 같아요,그게 이별의 흔적인가봐요.
손을 잡고 싶어요.,용기내서 잡아보세요.
손 잡고 싶어,용기를 가지고 잡으세요
재능은 보이지 않아요,잘 찾아보세요.
예능 볼 게 없다,찾아봐
여자친구가 있었어요.,너무 힘들게 하는 사실이네요.
짝남이 여친이 있었어요.,너무 힘들어
아름다운 꽃입니다.,너무 아름답죠.
벚꽃 예쁘다,너무 아름다워요
저는 해외로 여행하고 싶습니다.,그럼요!
해외여행 가고 싶어.,다 됐어!
이별을 극복한건지.,묻혀있다면 묻혀있겠지
내가 좋아하는 사람이 있고 더 이상 그녀를 볼 수 없습니다.,피치 못할 사정이 있나봐요.
"그래, 그랬어",괜찮은 선택이길 바라요.
그래 그러자,좋은 선택이 되길 바랍니다.
이제야 당신의 파트너가 오래 전에 병에 걸렸다는 것을 알게 됐습니다.,다음 번의 사랑에선 좀 더 신중할 수 있게 된 거예요.
난 괜찮아,잘 하실 거예요!
나두 잘할거야,넌 괜찮아!
우린 3개월째 분리됐고 어떻게 해야 할지 모르겠어,남은 미련 정리하세요.
모두에게 흥미로운 이야기입니다.,당신의 이야기.
누구나 궁금할법한 이야기,당신의 이야기.
이별 한달인데 가슴이 답답한게 아직도,바로 잊을 수 없어.
안경 벗었는데 차이가 없어ㅋㅋ,이건 정상이야
내 남자친구는 너무 바쁘다.,너무 집착하지 마세요.
남자친구가 너무 바빠,너무 집착하지 마
넌 똥구멍이야 잊고 살아라,그런 사람은 빨리 잊는게 상책이에요. 자신을 더 사랑해주세요.
할 일이 많이 있어,하나씩 다 할 수 있을 거예요.
일이 또 쌓이네,한 번씩 할 수 있어요.
잊기 위해 열심히 노력하지만 여전히 내 마음에는 구멍이 있습니다.,구멍이 메워질 수 있을 거예요.
이 순간 뭘하면 좋을까,현재를 즐기고 영원히 행복하게 살아라
한 달 동안 클럽.,기분전환이 좀 되었길 바라요.
교회 좋아하는 여자애가 있어요.,일요일이 기다려지겠네요.
교회에 좋아하는 여자애가 생겼어.,저는 일요일까지 기다려야 합니다.
롱이예요 전화는 별로 안 들어요,롱디는 연락이 잘 되어야 하는데요.
롱디인데 연락이 자주 안돼.,롱이는 의사소통할 수 있어야 합니다.
해체된 지 1년 후 선물도 받았어요,이별하신게 맞나요.
이별 후 1년 그리고 선물,네 말이 맞아요
좋은 첫 인상을 주고 싶니?,겉모습에 신경 써보세요.
포기하면 공허합니다.,자신을 포기하지는 마세요.
포기하니 공허하네.,자신을 포기하지 마세요.
내가 연락한 지 2년이 지났습니다.,다시 연락을 했나봐요.
내가 속이는 것처럼.,기분나쁘겠어요.
네 연락이 많았어,친구는 귀찮아서 연락 안 하는데 썸의 가능성이 높아 보이네요.
썸 탈 때는 설렜는데 사귀면 마음이 식을까?,"아니, 서로의 감정을 확인하고 서로 친절하고 대화를 통해 끊임없이 자신의 감정을 공유할 수 있습니다."
날 무시하는 사람에게 어떻게 하면 되죠?,무시하세요.
나 무시하는 사람 어떻게 해?,무시해
전여친 헤어졌으니 남이죠?,"네, 맞아요"
남자들은 몇 년 동안 혼자 섹스를 할 수 있을까요?,계속 엄청 좋아하는 게 아니라 좋아했는데 시간이 흐른 거죠.
남자들은 몇 년씩 혼자 짝사랑 할 수도 있어?,"별로 마음에 들지 않았지만, 마음에 들었어요."
그는 매우 고 순수한 사람입니다.,좋은 사람이었나봐요.
참 소박하고 순수했던 사람.,저는 그가 좋은 사람이라고 생각합니다.
기억나?,생각하지 않는편이 맘 편할지도 몰라요.
기억이나 할까,어쩌면 내가 생각하지 않는 것에 대해 편안하게 느껴지는지도 모른다.
여자친구가 틀렸다고 하더라도 공감하는 게 옳은가?,공감을 해주면서 잘못을 스스로 깨닫게 해보세요.
여자친구가 잘못을 해도 다 공감해주는게 옳은걸까?,동정심 을 나타내며 자신의 잘못을 알아차리십시오.
드레스를 입는게 재미있어요!,여러벌 입어보고 마음에 드는걸로 선택하세요.
드레스 입어보는 거 재밌어!,몇 개 입고 좋아하는 걸 선택해
좋아하는 여자 때문에 너무 심각해요.,잠시 생각해보세요.
한 달이 지났어요,금방 지나가네요.
벌써 한달이 되었다,지나가고 있습니다.
프사를 왜 보았을까,앞으로 보지 마
달달한 마카롱 먹고 싶다,비싸지만 맛이 좋다.
허리 통증이야,운동 해보는 것도 좋을 거예요.
아이공 허리 아파라,운동을 하는 게 좋을 것 같아요.
엉덩이를 정리하고 싶다면,좋으면 좋아한다고 말해보세요.
2개월의 차이는,아직도 힘드시군요.
이별곧 두달.,아직도 힘들어
사랑이 어떻게 변하니,사랑보다 더 부적절한 것은 없습니다.
그가 어떻게 생겼는지 모르겠어요,알 수 없는게 사람 마음인가봐요.
내 남자친구가 이리로 데려왔어,매너 있네요.
남자친구가 데려다 준대,저곳은 영주집이야
"난 널 너무 사랑해, 너와 함께 갈 수 있어?",책임질 수 있다면 하고 싶은 대로 하세요.
너무 사랑하는데 동거해도될까?,책임감을 가질 수 있다면 하고 싶은 일을 하세요.
왜 저를 좋게 기억해주는 걸까,많은 돈을 절약한 것 같아요.
더 이상 그렇지 않은 것 같아요.,이별은 그런 거니까요.
나는 더 이상 아닌거겠져.,그게 분리이란 거야
마음에 없는데 관계를 하고 싶대,"걱정 마, 좀 더 자존심해"
봄이 다가오고 있습니다.,꽃도 필 거예요.
봄은 오네,꽃이 필요해
상메가 제 얘기 같아요,"제가 관심이 없다면, 여기 없었을 겁니다."
숙소 안 돼?,혼자 사는 것보다 불편하겠죠.
처리해야 할 일이 너무 많아,열까지밖에 없네요.
제 파트너 때문에 너무 우울하고 혼란스러웠습니다.,충분히 힘들거라 생각해요.
짝남 때문에 너무 우울하고 혼란스러워.,충분히 어렵다고 생각해요.
그걸 잊고 싶어요.,이 글이 마음을 정리하는데 도움이 될 거예요.
이 글을 끝으로 잊고 싶어,이 기사 는 당신 의 마음 을 깨끗 하게 하는 데 도움 이 될 것 이다.
칭찬 좀 해주세요,지금도 잘하고 있어요.
나 좀 칭찬해줘,그들은 여전히 잘하고 있습니다.
사랑받으면 좋겠어,먼저 사랑한다고 말해보세요.
사랑받고싶어,먼저 사랑한다고 말해
내일 약속이 있어 날씨가 좋으면,날씨가 안 좋더라도 데이트는 성공적일 거예요.
내일 약속 있는데 날씨 좋았으면,날씨가 좋지 않더라도 날짜는 성공할 것입니다.
강아지 키우고 싶어,할 수 있을 때 키워라.
전화기를 기다려야 할까요? 아니면 찾아야 할까요?,기다리지도 찾아가지도 마세요.
연락을기다려야해? 아니면 찾아가야해?,"기다리지 마, 보지 마."
엄마가 뭔가 하고 있어,연락 드려 보세요.
엄마는 뭐하나,연락해
안경테 바꾸면 인상이 바뀔까,다른 모습으로 보일 겁니다.
집으로 가는 길에 봤어요,우연히 마주쳤군요.
퇴근길에 봤네,그건 우연이었어
언제 고백할 거야?,고백은 타이밍입니다.
고백 언제 하지,고백은 타이밍입니다.
커피 타기 귀찮아,커피가 이기적이었으면 좋겠어요.
분리에 대한 답.,이별에 답이 있을까요.
내 친구가 제 파트너를 좋아합니까?,그렇게 느껴진다면 사실일지도 모르겠네요.
내 친구가 내 짝남 좋아하나?,"만약 당신이 그렇게 생각한다면, 그것이 사실인지 모르겠어요."
남자가 다른 여자를 좋아한다는 사실은 자랑스럽지 않습니다.,자존감은 자신만 결정할 수 있는 거예요.
짝남이 다른 여자를 좋아하는 걸 보니 자존감이 떨어져.,자존감은 자기결정입니다.
사랑 이 없는 삶 은 불행 한 일 인가?,삶 곳곳에 사랑이 숨 쉬고 있어요.
사랑 없는 삶은 불행할까?,사랑은 삶의 모든 곳에서 숨을 쉬고 있습니다.
얼마나 멋지는지 보여줘요,진심으로 그랬으면 속상할거예요.
내가 언제 할 수 있을지 모르겠어,무뎌지는 순간이 올 거라 믿어요.
언제쯤 무뎌질까,내가 견딜 수 없을 때가 올 거라고 믿습니다.
매일 카페에서 그의 등을 볼 수 있어요.,이제 앞모습을 보세요.
매일 카페에서 그의 뒷모습만 보게 돼.,이제 앞쪽을 보세요.
지붕에 올라가는 건 너무 힘들어.,옥상 추워요 내려오세요.
너무 힘들어서 지금 옥상에 올라왔어.,지붕이 추워서 내려와
애기가 밥을 너무 안 먹어,제 건강에 대해 걱정합니다.
남녀가 헤어졌어,누구든 힘들어할 거예요.
연애하는 것도 기술이 필요한가봐,저는 그것이 기술보다는 자연적인 흡수 과정이라고 생각합니다.
좋아하는 남자애랑 다른 반 됐어.,반결은 사랑을 갈라놓았습니다.
내가 널 사랑한다고 계속 말해야 해?,사랑한다는 말 아끼지 말고 언제든지 표현해주세요.
사랑한다는 말 아껴야할까?,언제든 사랑을 표현하는 것을 잊지 마세요.
나와 아무 상관이 없는 이야기.,잊어버리세요.
나랑 상관 없는 이야기들,잊어
소개팅 성공률 높이는 법,자기 자신을 사랑하고 잘 아는 것.
도시락 싸서 놀러 가고 싶어,네가 갈 때 내가 너와 함께 갈게
한 쌍의 행동입니다.,확실히 대화를 나눠보세요.
나도 좋은 사람이야,알아봐주는 사람이 있을 거예요.
을 가봐야겠어,썸만 타는데 왜 현타가 오는지 모르겠네요.
노트북을 부팅할 수 없어요,그럴때는 초기화하는게 속시원해요.
노트북 부팅 안돼,그때부터 시작하려는 유혹이 생겼어요.
그냥 쫓겨나고 있는 것 같아,스스로 경쟁해야하고 이겨야한다는 강박관념에 사로잡히지 마세요.
나만 뒤처지는 느낌이야,경쟁하고 승리해야 한다는 생각에 사로잡히지 마세요.
그냥 보내려고 해요,보내는 것도 사랑이에요.
그냥 보내려 합니다.,보내는 것이 사랑입니다.
그녀의 카톡,너무 기대하지 마
넌 날 친구로 생각하지 않았어,그런 친구는 거르세요.
같이 욕해줘,나쁜 놈이야
담배는 비싸죠.,금연하세요.
사랑 없이 섹스를 할 수 있을까?,남자든 여자든 다 가능하다고 봅니다.
남자는 정말 사랑없는 성관계 가능해?,남성과 여성 모두에게 가능하다고 생각합니다.
결과 발표를 기다리고 있습니다.,여행 다녀와 보세요.
임용 결과 발표 기다리고 있어,여행을 가서 보자.
너랑 헤어졌던 사람을 잊고 있는 동안 도움을 받을 수 없어,아마도 그렇겠죠.
다시 가라앉는다.,제가 수면위로 올라갈 수 있게 도와드릴게요.
다시 또 가라 앉고 있습니다.,계단을 올라갈 수 있도록 도와드리겠습니다.
다시 작별인사를 할게요.,이별은 절대 익숙해지지 않아요.
어제 짝남이랑 놀았는데 꿈같다.,우린 다시 함께 놀 수 있어
술 때문이야,맨날 술이야.
술이야,그는 항상 술을 마신다.
목에 통증이 있어요,목감기 오려나봐요.
너도 걱정이야?,저는 고민이 없어요.
너도 고민 있어?,난 아무런 문제가 없어
내 잘못이 아니야,천천히 생각해보세요.
난 잘못이 없다,천천히 생각해봐
보험계약을 재설계해야 할까요?,재설계가 필요하다면 하는 게 좋을 것 같습니다.
보험료 설계 다시 해야 하나?,재설계할 필요가 있다면 잘 할 수 있습니다.
넌 그냥 잠들지 않아?,많이 피곤한가봐요.
그냥 자는 거 아니지?,너무 피곤해 보이네
내가 그녀의 행복을 빌릴 날이 올 거야,가능할 거예요.
그녀의 행복을 진심으로 빌어주는 날이 올까,가능할 겁니다.
썸인지 아닌지 알 수 있나,접촉 패턴이라고 생각해보세요.
결혼하고 싶니?,해봐요.
결혼하면 좋아?,시도해봐
같이 수영장 가기로 했어,즐거운 시간을 보내세요!
시어머니가 질투하는 것 같아,자기 아들을 데려갔다고 생각하니?
스키를 배우고 싶어요.,배우면 금방 배우실 거예요.
데이트 앱에서 누군가를 만나면 괜찮아?,천천히 알아가보는 게 좋을 거 같아요.
소개팅 어플로 알게 된 사람 괜찮을까?,느려진 게 좋을 것 같아요.
거의 떨어졌어요,다치지 않으셨나 걱정이네요.
넘어질 뻔했어,네가 다치지 않았을까봐 걱정이야
사랑이란 무엇인가?,"받는 것보다 주는 게 더 행복하고, 더 주고 싶은 마음인 것 같아요."
사랑이 뭐야?,저는 받는 것보다 주는 것이 더 행복하고 기꺼이 주는 것이 더 행복하다고 생각합니다.
내가 준비하는 걸 생각 중이야,많은 준비가 필요해보여요.
창업 고민된다.,많은 준비가 필요합니다.
"괜찮아, 아가씨",사랑이 모두 정답이 될수는 없어요.
괜찮아 사랑이야,모든 사랑은 해결책이 될 수 없습니다.
난 헤어지고 있고 많은 생각을 해왔어,정리할 시간이 필요하지요.
헤어지고 나니 많은 생각이 들어,해결하는 데 시간이 걸립니다.
왜 깨졌는지 모르겠어요,밀당일 수도 있을 듯합니다.
데이트 상담이 있나요?,부족하지만 열심히 해드릴게요.
더 이상 견디지 않아도 돼,사랑은 때론 미련이 되기도 하죠.
이젠 잡아도 안되는거래,사랑은 가끔 미쳤어요.
9년 동안 연기하고 8년 동안 살다가 결국 헤어졌어요,공허함이 크겠어요.
"9년연예,8년동거. 결국 헤어짐. 정말",큰 공백이 있습니다.
스킨십은 언제 시작해?,정확히 언제인지 알 수 없습니다.
오늘 서점에서 이상형 봤어,걸을 용기가 있어
연락하지 말라고 했잖아,언젠가는 해야할 선택이었을 뿐이에요.
연락 말라고 모질게 했내 결국,어느 날 우리가 해야 할 선택이었죠.
시어머니가 나만 미워하는 것 같아,"솔직히 말한다면, 제 사모가 알게 될 겁니다."
컴퓨터가 너무 느리네요.,포맷해보세요.
컴퓨터가 넘넘 느려,포맷해 봅시다.
난 널 많이 만났어 근데 왜 몰라?,상대방은 당신의 마음을 읽을 수 없어요.
많이 만났는데 아직도 왜 모르지?,그들은 당신의 생각을 읽을 수 없습니다.
어제 비가 내리길 예상했던 것보다 더 잘 기억했어,비가 오는 날은 맘이 싱숭생숭하죠.
이송된 여성입니다.,사랑의 예의가 없는 사람이네요.
환승당했다는 여자입니다.,그는 사랑이 없는 사람입니다.
파트너와 연락할 수 있나요?,연락하세요.
짝녀한테 연락해볼까?,연락해
난 네 아내이기 때문에 이상해,익숙해져야죠.
배우자라고 하니까 이상해,익숙해져야 합니다.
새 아내가 있어?,궁금해하지도 마세요.
새로운여자가 생긴걸까?,걱정 마
혼자 시간을 보내고 싶어요.,지쳤나봐요.
혼자만의 시간을 갖고 싶어,피곤한 것 같아요.
내 눈은 젖었어,눈 체조를 해보세요.
눈이 침침해,눈을 연습해보세요.
지금 누구라도 좋아해?,잘 모르겠어요.
지금 좋아하는 사람 있어?,- 나도 몰라
2개월 동안 샀어요,좋은 만남 이어가길 바라요.
잊어야 할 거야,그래야할 것 같아요.
잊어야겠지,우리가 해야 한다고 생각합니다.
개강이라니,아주 짧은 휴가입니다.
눈물이 많터냐,더 많은 눈물을 흘릴 수 있습니다.
그게 절반이야,인생은 반복의 연속이지요.
음.반복이냐,인생은 반복의 연속입니다.
사랑은 지나치게 끝났다고 생각해요.,그런 남자 버리고 이런 느낌 안 주는 사람 만나세요.
첫사랑을 기억해,기억나면 기억나는대로 마음가는대로 그냥 놔두는게 좋은거 같아요.
첫사랑이 떠올라,기억에 있는 그대로 남겨두는 게 좋을 것 같습니다.
남편이 왜 애키우는거 안 도와줄까,그것은 무력함의 이야기입니다.
내가 말하면 왜 비난만 할까,성장에 대한 비판이라고 생각하세요.
정말 안 들어왔어,그때의 나를 자책하지 말아요. 무슨 선택을 하든 당신을 믿어요.
정말 너를 받아준게 아니였어.ㅠㅠ,"날 탓하지 마, 내가 널 신뢰한다."
한 달이 지났어요,그러게요. 어느덧 한달이에요.
한달 다되가네,한 달 정도 걸렸어요
머리 식히러 간 여행에서 되려 힘듦이 찾아오네,내 마음이 진정된 것 같지는 않아요.
너무 힘들어,지금 많이 위축된 상태인 것 같습니다.
너무 어려워,지금 우리는 매우 곤경에 처해 있다고 생각합니다.
복귀를 기다릴 순 없어,후회하진 않을까 모르겠어요.
왜 일하러 돌아오지?,째깍째깍.
난 이제 나 자신을 지쳤어,이별의 끝은 항상 모두를 그렇게 만드나봐요.
이젠 제 자신한테 지칩니다,갈라짐의 끝은 항상 모든 사람을 그렇게 만듭니다.
내 다리는 덜 떨고 있어요,주물주물 해주세요.
다리가 덜덜 떨려,주식을 줘
당신이 창녀와 함께 여행하더라도?,사귀고 나서 가도 돼요.
썸녀한테 여행가자고 해도 됨?,데이트 후 갈 수 있어
좋은 남자를 만나서 행복하게 살아라.,당신도 좋은 사람 만나서 행복하세요.
좋은남자 만나서 행복하게 살아라.,당신도 좋은 사람 을 만났을 때 행복 합니다.
꿈이 너무 리얼하네,내가 원숭이가 될 거야
아.빌어먹을 이제야 알다니.,이제 내가 깨달은 것은 더 이상 실수를 하지 않을 것입니다.
언젠간 모두 잊고,언젠가는 그 순간이 올 거야
나 뒷담화하는 애 어떻게 할까?,"너무 걱정하지 마, 그냥 내놔."
5년가까이 사귄 그녀와 헤어졌습니다.,당신의 마음은 공허하고 당신의 마음은 복잡합니다.
한 번은 더 볼 일이 있을 것 같았는데.,살아있는 모습을 볼 수 있습니다.
오늘은 또 뭐 입냐,매일 아침 하는 일이죠.
매일 같은 노래야,노래가 당신의 이야기랑 비슷한가봐요.
매일 같은 노래만,노래가 당신의 이야기와 비슷하다고 생각합니다.
"결국, 전화번호를 바꾸게 되었습니다.",이제 연락 하지 마세요.
결국 핸드폰 번호 바꿨어,지금 연락하지 마
난 그걸로 지쳤어,새로운 시작을 해보세요.
이별. 지쳐버렸나,다시 시작해보세요.
잠시라도 좋으니 만낳 수 있을까,"당신이 후회하지 않을 것이라고 확신한다면, 나와 연락하십시오."
헤어진 여친 생각나서 노래 해바라기가 생각나네,전화해 주세요
분리가 필수적입니다.,그러면서 성장을 해나가는 거예요.
이별은 필수입니다,그리고 그들은 성장하고 있습니다.
내 남자친구를 늦은 생일 선물로 구하려고 떨고 있어요.,그가 좋아할 거예요.
가장 좋아하는 여자는 tost을 씹는다.,마음을 정리하는게 좋겠어요.
15년 동안,시간이 무색하네요.
내가 전화했어,후회할 행동은 하지 마세요.
연락했는데,후회하는 일을 하지 마
한 달 두 주가 지났지만 여전히 거기 있어요.,힘들 수 있지요.
한달하고 2주가 지났는데 아직도.,어려운 일이 될 수 있습니다.
내가 또 뭘 할 수 있는지 알아?,많은걸 하고 싶은데 아직 못하는게 많아요.
딴 거 뭐 할 줄 알아?,하고 싶은 일이 많지만 아직도 할 수 없어.
왜 항상 후회하는지 모르겠어요,모든 일에는 후회가 남기 마련인가봐요.
매번 왜 이렇게 남는게 후회인지 모르겠네 ㅎㅎ,저는 모든 것에 후회가 있다고 생각합니다.
창녀를 위한 크리스마스 선물?,마음을 표현하는 건 나쁘지 않아요.
썸녀한테 크리스마스 선물 오바인 부분?,자신의 감정을 표현하는 것도 나쁘지 않습니다.
의미 있는 일을 하고 싶어요.,봉사활동도 좋을 거예요.
나랑 헤어지고 시간이 지나갈까봐 무서워요,시간이 흐르는 게 잊는 데는 더 좋을 수 있어요.
헤어지고 시간이 흐르는게 무서워,시간의 흐름을 잊는 것이 낫습니다.
네가 나처럼 아프으면 좋겠어.,이런 말을 하면서 당신이 아프지 않았으면 좋겠어요.
내가 할 수 있는 일은 없지만 넌 내게 너무 친절해,무엇을 해줘서 잘하는게 아니라 곁에 존재해주었다는 이유만으로 삶이 풍부해진 것 같아요.
